Image,Frequency_Preservation,Frequency_Error
000564,1.0,4.3272847278644715
000565,1.0,0.6193920905369265
000566,1.0,0.5943804042766616
000567,1.0,0.530084419712946
000568,1.0,0.11972979863004002
000569,1.0,0.13435198915994295
000570,1.0,0.19437264266396378
000571,1.0,0.0992217732570943
000572,0.9369766680720264,0.06302333192797356
000573,1.0,8.380478906517585
000574,1.0,64.45113032438258
000575,1.0,44.288449592775116
000576,0.987650661217372,0.012349338782627962
000577,1.0,0.01739232023083442
000578,1.0,0.24550655629092663
000579,1.0,0.38314927690077505
000580,1.0,11.754281501898625
000581,1.0,0.6804161747026634
000582,1.0,0.936127301002607
000583,1.0,1.3310169853573217
000584,1.0,1.1298989146232965
000585,1.0,0.5765845382365595
000586,1.0,0.6057121032187073
000587,1.0,0.4893882411965324
000588,1.0,1.0825416711325961
000589,1.0,8.951952787297744
000590,1.0,6.021244441224991
000591,1.0,4.95345298294338
000592,1.0,15.67161202364722
000593,1.0,0.2725133228989107
000594,1.0,0.5783345437780506
000595,1.0,0.1871515829336006
000596,1.0,3.8746775637258213
000597,1.0,7.994759453319315
000598,1.0,2.6555574911570385
000599,1.0,4.3853649222179865
000600,1.0,3.5780511461605893
000601,1.0,2.1259023337774985
000602,1.0,2.4178195899950405
000603,1.0,1.9334873298182242
000604,1.0,0.06981824699766984
000605,0.9418404348440552,0.05815956515594484
000606,1.0,0.009811861074485045
000607,0.9324967982460587,0.06750320175394128
000608,1.0,0.12456065097987445
000609,1.0,0.6847087029206517
000610,1.0,0.8777248352687534
000611,1.0,0.18188551568779557
000612,1.0,2.4814445795930937
000613,0.7043101557906025,0.2956898442093975
000614,0.7128925112884928,0.28710748871150715
000615,0.6959719098347068,0.3040280901652932
000616,1.0,2.098439916813842
000617,1.0,1.2047732517980865
000618,1.0,0.6440050581317467
000619,1.0,1.1340776246157962
000620,1.0,3.666343203991359
000621,1.0,0.34170243245873116
000622,1.0,0.03820878380924195
000623,1.0,0.11518776675835049
000624,0.5862328457544383,0.41376715424556165
000625,0.37907418005068005,0.62092581994932
000626,0.3772230221056403,0.6227769778943597
000627,0.38713984305852495,0.612860156941475
000628,1.0,2.1973114278320725
000629,1.0,0.6123707666936615
000630,1.0,0.7933900813435243
000631,1.0,0.7291934794090303
000632,1.0,1.471174786569786
000633,1.0,3.1118605635213137
000634,1.0,1.645137908805274
000635,1.0,2.42138078748999
000636,0.7536219101699743,0.24637808983002576
000637,1.0,0.27739831805014864
000638,1.0,0.3638510479131939
000639,1.0,0.5272472955705957
000640,1.0,1.217014630136938
000641,0.8877500881186601,0.11224991188133988
000642,0.7676080576266161,0.2323919423733839
000643,1.0,16.907093983679616
000644,1.0,1.0187487247374039
000645,1.0,0.9429730905599424
000646,1.0,0.7067402191394144
000647,1.0,1.5159324685416695
000648,1.0,0.22392901867750256
000649,0.9634594637193292,0.03654053628067074
000650,0.9193005148080268,0.0806994851919732
000651,0.9586571639336396,0.041342836066360314
000652,1.0,0.2834220980037094
000653,0.8093613941239975,0.19063860587600243
000654,0.8094121162381496,0.19058788376185046
000655,0.8213709205453702,0.17862907945462975
000656,1.0,0.7987840851725824
000657,1.0,0.4602251540205929
000658,1.0,0.42483683870374267
000659,1.0,0.2784502553692568
000660,1.0,0.761178392866238
000661,1.0,9.398144465976381
000662,1.0,11.587636399402545
000663,1.0,15.250319107268664
000664,0.5485102119632875,0.4514897880367124
000665,0.7728472564162567,0.2271527435837433
000666,0.5261425108792984,0.47385748912070164
000667,0.6202150848827477,0.3797849151172523
000668,1.0,13.414966950356273
000669,1.0,1.54695867966223
000670,1.0,1.5410172722350524
000671,1.0,2.4786333273551087
000672,0.8031743683805692,0.1968256316194308
000673,1.0,0.2196644105700757
000674,1.0,0.36478577486194597
000675,1.0,0.15792932252852845
000676,0.6820698226881629,0.31793017731183715
